timestamp,USD_bid,USD_ask,EUR_bid,EUR_ask,GBP_bid,GBP_ask
2025-01-01 09:00:00,3.9721,4.0548,4.3072,4.387,5.1638,5.2609
2025-01-01 09:00:02,3.9449,4.0394,4.3155,4.4002,4.9954,5.089
2025-01-01 09:00:04,4.0323,4.1078,4.2907,4.3789,5.0225,5.1343
2025-01-01 09:00:06,3.8029,3.8769,4.229,4.3024,5.0346,5.1348
2025-01-01 09:00:08,3.8816,3.9575,4.2796,4.3481,4.9586,5.0619
2025-01-01 09:00:10,3.9331,4.0186,4.2789,4.3728,5.0003,5.0976
2025-01-01 09:00:12,3.9995,4.0739,4.2238,4.3136,5.0968,5.2
2025-01-01 09:00:14,3.9618,4.0302,4.2872,4.3807,5.0861,5.1786
2025-01-01 09:00:16,3.8187,3.8966,4.235,4.33,5.0395,5.1357
2025-01-01 09:00:18,3.9911,4.0766,4.2782,4.3719,5.0691,5.1732
2025-01-01 09:00:20,3.9346,4.0214,4.2757,4.3604,4.9985,5.091
2025-01-01 09:00:22,4.0063,4.0968,4.3697,4.4469,5.0859,5.1845
2025-01-01 09:00:24,3.9151,4.0039,4.2708,4.351,4.9763,5.0791
2025-01-01 09:00:26,4.0139,4.0941,4.2846,4.3616,5.0565,5.1665
2025-01-01 09:00:28,3.8913,3.9604,4.2071,4.2958,4.9319,5.0322
2025-01-01 09:00:30,3.8985,3.9849,4.2464,4.3249,4.9902,5.0941
2025-01-01 09:00:32,3.9245,4.0116,4.2996,4.3873,4.9983,5.1016
2025-01-01 09:00:34,3.8926,3.97,4.2294,4.3081,4.9284,5.0181
2025-01-01 09:00:36,3.8858,3.9553,4.2526,4.3368,4.996,5.0966
2025-01-01 09:00:38,3.9537,4.0338,4.2879,4.3716,5.077,5.1893
2025-01-01 09:00:40,3.8859,3.9682,4.2337,4.313,5.0472,5.1571
2025-01-01 09:00:42,3.9812,4.0646,4.2741,4.3476,4.9618,5.0636
2025-01-01 09:00:44,3.9979,4.078,4.2855,4.3737,4.9933,5.0968
2025-01-01 09:00:46,3.9654,4.0363,4.3346,4.4194,5.0409,5.1363
2025-01-01 09:00:48,3.964,4.0395,4.2593,4.3379,4.9547,5.0452
2025-01-01 09:00:50,4.0272,4.0994,4.2867,4.3753,5.0082,5.1061
2025-01-01 09:00:52,4.0389,4.1213,4.2424,4.332,5.1231,5.2308
2025-01-01 09:00:54,3.8383,3.9003,4.2376,4.3195,5.033,5.1404
2025-01-01 09:00:56,3.8019,3.8773,4.2325,4.3138,5.0136,5.1152
2025-01-01 09:00:58,3.849,3.9362,4.2497,4.3292,5.0195,5.128
2025-01-01 09:01:00,3.8744,3.9512,4.2096,4.2931,4.9222,5.0216
2025-01-01 09:01:02,3.9968,4.0779,4.3056,4.3869,5.0295,5.1209
2025-01-01 09:01:04,4.0358,4.1102,4.2734,4.3484,5.1246,5.2302
2025-01-01 09:01:06,4.0194,4.0959,4.2227,4.3005,5.1009,5.1995
2025-01-01 09:01:08,3.8574,3.9506,4.2673,4.3469,5.0704,5.1745
2025-01-01 09:01:10,3.9917,4.0684,4.3255,4.4202,5.0713,5.1801
2025-01-01 09:01:12,3.9651,4.0406,4.2873,4.3593,4.998,5.0858
2025-01-01 09:01:14,3.9455,4.0113,4.2746,4.359,5.0055,5.1088
2025-01-01 09:01:16,4.0666,4.1376,4.2846,4.3567,5.1248,5.2376
2025-01-01 09:01:18,3.9725,4.0427,4.2913,4.3677,5.0172,5.1189
2025-01-01 09:01:20,4.0075,4.0854,4.249,4.3407,4.9741,5.0864
2025-01-01 09:01:22,3.9991,4.0761,4.2999,4.3885,5.0779,5.1797
2025-01-01 09:01:24,3.9556,4.036,4.2849,4.3818,5.0778,5.1745
2025-01-01 09:01:26,3.9526,4.0389,4.3132,4.4044,5.1435,5.2482
2025-01-01 09:01:28,3.9162,4.0006,4.2956,4.3827,4.9879,5.0947
2025-01-01 09:01:30,3.9769,4.0539,4.3076,4.3885,5.1634,5.279
2025-01-01 09:01:32,3.893,3.9924,4.2256,4.3113,4.9705,5.0709
2025-01-01 09:01:34,3.9999,4.085,4.3439,4.4324,5.081,5.1842
2025-01-01 09:01:36,3.8851,3.9701,4.2268,4.3037,4.9502,5.0434
2025-01-01 09:01:38,4.0277,4.1015,4.228,4.3084,5.1332,5.2355
2025-01-01 09:01:40,3.9234,3.9957,4.3,4.388,4.9841,5.0876
2025-01-01 09:01:42,3.9295,4.0258,4.2765,4.3697,5.0063,5.1131
2025-01-01 09:01:44,3.959,4.0354,4.2504,4.3286,5.0225,5.121
2025-01-01 09:01:46,3.9299,4.0066,4.2445,4.3295,4.9295,5.0352
2025-01-01 09:01:48,3.905,3.9716,4.2601,4.3334,4.9764,5.0717
2025-01-01 09:01:50,4.0453,4.1271,4.2567,4.3434,5.1172,5.2248
2025-01-01 09:01:52,3.9877,4.057,4.2829,4.3874,5.1474,5.2581
2025-01-01 09:01:54,3.9293,4.0081,4.3052,4.3896,5.0025,5.1075
2025-01-01 09:01:56,3.9447,4.0285,4.2397,4.3293,4.9335,5.0331
2025-01-01 09:01:58,3.8848,3.9671,4.2423,4.334,4.9896,5.0864
2025-01-01 09:02:00,4.0665,4.153,4.2183,4.3088,5.087,5.199
2025-01-01 09:02:02,3.951,4.0296,4.2565,4.3364,4.9537,5.0591
2025-01-01 09:02:04,3.8485,3.9135,4.2231,4.3106,4.9621,5.0516
2025-01-01 09:02:06,3.9099,3.9912,4.2496,4.3251,5.0409,5.1482
2025-01-01 09:02:08,3.9797,4.0551,4.309,4.3971,5.1713,5.2776
2025-01-01 09:02:10,4.0696,4.1505,4.2323,4.314,5.0959,5.2041
2025-01-01 09:02:12,4.0027,4.0803,4.2765,4.37,5.0108,5.1076
2025-01-01 09:02:14,3.8021,3.878,4.2198,4.3026,4.9577,5.0686
2025-01-01 09:02:16,3.9844,4.0635,4.332,4.4201,5.0726,5.1841
2025-01-01 09:02:18,4.1321,4.216,4.2989,4.386,5.1654,5.272
2025-01-01 09:02:20,3.8383,3.9112,4.2284,4.3101,4.9584,5.0538
2025-01-01 09:02:22,3.7975,3.8742,4.2271,4.3104,5.0711,5.1691
2025-01-01 09:02:24,3.9376,4.0292,4.2438,4.3329,4.9406,5.0323
2025-01-01 09:02:26,3.8867,3.9684,4.2647,4.3543,4.9676,5.0664
2025-01-01 09:02:28,4.0012,4.0859,4.3022,4.3818,5.0211,5.1348
2025-01-01 09:02:30,3.881,3.9688,4.2556,4.337,5.0657,5.1687
2025-01-01 09:02:32,3.9922,4.0728,4.3356,4.4179,5.0707,5.1708
2025-01-01 09:02:34,3.8485,3.9102,4.2412,4.3353,5.021,5.1256
2025-01-01 09:02:36,4.1368,4.2099,4.2912,4.3744,5.1684,5.2732
2025-01-01 09:02:38,3.955,4.0378,4.2776,4.3603,4.9872,5.0745
2025-01-01 09:02:40,3.9985,4.0765,4.2556,4.3398,4.9954,5.084
2025-01-01 09:02:42,3.9489,4.026,4.2707,4.3543,5.1242,5.2379
2025-01-01 09:02:44,3.8944,3.9676,4.269,4.3591,5.1176,5.2081
2025-01-01 09:02:46,3.9722,4.0436,4.3031,4.3933,5.1566,5.2624
2025-01-01 09:02:48,3.9651,4.0449,4.3199,4.4075,5.0398,5.1466
2025-01-01 09:02:50,4.005,4.0874,4.3018,4.3874,5.0226,5.1232
2025-01-01 09:02:52,3.8909,3.9617,4.2454,4.3245,5.0726,5.1778
2025-01-01 09:02:54,3.9978,4.079,4.3052,4.3866,5.0443,5.1436
2025-01-01 09:02:56,3.8932,3.975,4.242,4.3136,5.0276,5.1399
2025-01-01 09:02:58,3.887,3.97,4.2603,4.35,5.092,5.2068
2025-01-01 09:03:00,3.9329,4.0213,4.3087,4.3871,4.999,5.0888
2025-01-01 09:03:02,4.0226,4.1126,4.2288,4.3191,5.0905,5.1924
2025-01-01 09:03:04,4.0621,4.15,4.2292,4.3168,5.0876,5.1871
2025-01-01 09:03:06,3.9492,4.0346,4.2724,4.3578,4.9999,5.1016
2025-01-01 09:03:08,3.9499,4.0373,4.2635,4.3533,4.9756,5.0744
2025-01-01 09:03:10,3.8943,3.9802,4.2433,4.3231,5.0202,5.1342
2025-01-01 09:03:12,3.9766,4.055,4.2646,4.3551,5.0519,5.149
2025-01-01 09:03:14,3.9592,4.05,4.2882,4.3663,5.0227,5.1278
2025-01-01 09:03:16,3.8252,3.9082,4.2516,4.3408,5.06,5.1476
2025-01-01 09:03:18,3.8059,3.8825,4.2247,4.3106,5.013,5.1076
2025-01-01 09:03:20,3.8812,3.96,4.2385,4.3225,4.9726,5.0751
2025-01-01 09:03:22,4.0106,4.1009,4.2269,4.303,5.111,5.2203
2025-01-01 09:03:24,3.9926,4.0659,4.2178,4.2984,5.093,5.1972
2025-01-01 09:03:26,3.8134,3.8924,4.2397,4.3174,5.0109,5.1132
2025-01-01 09:03:28,3.8357,3.907,4.2423,4.3339,5.0394,5.1417
2025-01-01 09:03:30,3.9099,3.9896,4.2488,4.3304,4.9739,5.0817
2025-01-01 09:03:32,3.9406,4.0094,4.2807,4.3642,4.9903,5.0899
2025-01-01 09:03:34,3.9986,4.0811,4.3379,4.4412,5.0837,5.1813
2025-01-01 09:03:36,3.8948,3.9749,4.2772,4.3628,5.0979,5.19
2025-01-01 09:03:38,3.9436,4.0286,4.256,4.3365,4.9598,5.0548
2025-01-01 09:03:40,4.0633,4.1629,4.2208,4.3145,5.0955,5.2085
2025-01-01 09:03:42,3.8186,3.8846,4.2303,4.3195,5.0314,5.1179
2025-01-01 09:03:44,3.8824,3.9605,4.228,4.3036,4.9556,5.0527
2025-01-01 09:03:46,3.8211,3.9073,4.2601,4.3484,5.0544,5.163
2025-01-01 09:03:48,3.9317,4.0216,4.2779,4.3685,5.0154,5.1012
2025-01-01 09:03:50,3.9999,4.0836,4.3071,4.3879,5.0241,5.1269
2025-01-01 09:03:52,3.9491,4.026,4.2971,4.369,5.0218,5.1236
2025-01-01 09:03:54,3.885,3.963,4.2627,4.3407,4.9683,5.0748
2025-01-01 09:03:56,3.9285,4.001,4.242,4.322,5.007,5.1126
2025-01-01 09:03:58,4.0235,4.0913,4.3077,4.3862,5.0415,5.1491
